step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
91,replay_buffer_add,222688,458,0
91,lag_feature_extract,85312,848,0
91,preference_plane_get,8160,156,0
91,tegra_daemon_sample,28736,140,0
91,rl_arbiter_act,10432,52,0
91,override_layer_step,7552,116,0
91,resource_manager_decide,11200,116,0
91,dvfs_controller_set,21248,452,0
92,replay_buffer_add,221120,458,0
92,lag_feature_extract,82624,848,0
92,preference_plane_get,8640,156,0
92,tegra_daemon_sample,27264,140,0
92,rl_arbiter_act,10880,52,0
92,override_layer_step,7392,116,0
92,resource_manager_decide,11264,116,0
92,dvfs_controller_set,21824,452,0
93,replay_buffer_add,229920,458,0
93,lag_feature_extract,92896,848,0
93,preference_plane_get,8352,156,0
93,tegra_daemon_sample,26496,140,0
93,rl_arbiter_act,10144,52,0
93,override_layer_step,7136,116,0
93,resource_manager_decide,11072,116,0
93,dvfs_controller_set,22976,452,0
94,replay_buffer_add,225280,458,0
94,lag_feature_extract,84192,848,0
94,preference_plane_get,8352,156,0
94,tegra_daemon_sample,26624,140,0
94,rl_arbiter_act,10144,52,0
94,override_layer_step,7392,116,0
94,resource_manager_decide,11136,116,0
94,dvfs_controller_set,21568,452,0
95,replay_buffer_add,229984,458,0
